POSTGRES tpch
drop index: 0.0010118484497070312
create index: 0.0044803619384765625
create index: 0.007927656173706055
create index: 0.012251138687133789
create index: 0.016346454620361328
create index: 0.019078731536865234
create index: 0.021704912185668945
drop index: 0.054924964904785156
create index: 0.0035161972045898438
create index: 0.005631446838378906
create index: 0.007512807846069336
create index: 0.009401798248291016
create index: 0.011564254760742188
create index: 0.013991117477416992
drop index: 0.046903371810913086
create index: 0.0025801658630371094
create index: 0.004312753677368164
create index: 0.005903482437133789
create index: 0.007593393325805664
create index: 0.009705066680908203
create index: 0.01152491569519043
drop index: 0.04646158218383789
POSTGRES tpch
drop index: 0.0011148452758789062
create index: 0.0029020309448242188
create index: 0.005658626556396484
create index: 0.007527589797973633
create index: 0.009708642959594727
create index: 0.012496232986450195
create index: 0.014416694641113281
drop index: 0.036940574645996094
create index: 0.0028159618377685547
create index: 0.004449605941772461
create index: 0.007768869400024414
create index: 0.009505748748779297
create index: 0.011709451675415039
create index: 0.016004562377929688
drop index: 0.04127812385559082
create index: 0.003061532974243164
create index: 0.00527501106262207
create index: 0.008425712585449219
create index: 0.01067495346069336
create index: 0.013033866882324219
create index: 0.015809297561645508
drop index: 0.05649900436401367
POSTGRES tpcds
drop index: 0.04604315757751465
create index: 0.004157543182373047
create index: 0.008525609970092773
create index: 0.011435747146606445
drop index: 0.020774126052856445
create index: 0.013329744338989258
create index: 0.015496969223022461
create index: 0.017403364181518555
drop index: 0.0200960636138916
create index: 0.007713794708251953
create index: 0.009601354598999023
create index: 0.011210918426513672
drop index: 0.021294355392456055
POSTGRES job
drop index: 0.0016713142395019531
create index: 0.6921892166137695
create index: 1.5754060745239258
create index: 7.3028724193573
drop index: 0.07240557670593262
create index: 0.6760773658752441
create index: 1.5740892887115479
create index: 5.249034404754639
drop index: 0.07303667068481445
create index: 0.9245667457580566
create index: 2.211817741394043
create index: 6.88547420501709
drop index: 0.07830190658569336
create index: 3.6269304752349854
create index: 4.323965311050415
create index: 5.244798183441162
create index: 5.29625678062439
create index: 22.450927257537842
drop index: 0.22269415855407715
create index: 0.7351579666137695
create index: 5.4726722240448
create index: 6.624043941497803
create index: 6.67046856880188
create index: 19.980323314666748
drop index: 0.2004714012145996
create index: 1.136775016784668
create index: 6.7658092975616455
create index: 8.239037275314331
create index: 8.307542085647583
create index: 22.840508222579956
drop index: 0.19331145286560059
create index: 13.272693872451782
create index: 13.981498003005981
create index: 15.155981302261353
drop index: 0.12967848777770996
create index: 0.7314097881317139
create index: 13.513245105743408
create index: 14.644032001495361
drop index: 0.11426019668579102
create index: 1.0585975646972656
create index: 14.546177625656128
create index: 15.894256353378296
drop index: 0.11692023277282715
